target,trophic_class,nominal_coverage,picp,pinaw,winkler_score,sharpness,crps,n,ece
secchi_m,mesotrophic,0.9,0.87,0.6277,3.647,2.668,-0.584,5636,
secchi_m,mesotrophic,0.95,0.931,0.8338,4.503,3.544,-0.584,5636,0.0573
secchi_m,oligotrophic,0.5,0.394,0.1513,3.068,1.241,-0.631,4086,
secchi_m,oligotrophic,0.7,0.575,0.2468,4.102,2.024,-0.631,4086,
secchi_m,oligotrophic,0.8,0.666,0.3112,4.968,2.552,-0.631,4086,
secchi_m,oligotrophic,0.9,0.778,0.416,6.629,3.411,-0.631,4086,
secchi_m,oligotrophic,0.95,0.855,0.516,8.724,4.231,-0.631,4086,0.1164
secchi_m,,0.5,0.435,0.1856,2.749,1.281,-0.651,3698,
secchi_m,,0.7,0.612,0.2883,3.477,1.989,-0.651,3698,
secchi_m,,0.8,0.71,0.3573,4.067,2.465,-0.651,3698,
secchi_m,,0.9,0.83,0.4622,5.195,3.189,-0.651,3698,
secchi_m,,0.95,0.891,0.5668,6.592,3.911,-0.651,3698,0.0744
secchi_m,eutrophic,0.5,0.347,0.2168,1.735,0.705,-0.498,2328,
secchi_m,eutrophic,0.7,0.495,0.3604,2.302,1.171,-0.498,2328,
secchi_m,eutrophic,0.8,0.576,0.4801,2.777,1.56,-0.498,2328,
secchi_m,eutrophic,0.9,0.708,0.7347,3.651,2.388,-0.498,2328,
secchi_m,eutrophic,0.95,0.799,1.0106,4.61,3.285,-0.498,2328,0.1852
secchi_m,hypereutrophic,0.5,0.229,0.2173,1.673,0.619,-0.478,415,
secchi_m,hypereutrophic,0.7,0.395,0.3829,2.275,1.091,-0.478,415,
secchi_m,hypereutrophic,0.8,0.46,0.5298,2.936,1.51,-0.478,415,
secchi_m,hypereutrophic,0.9,0.528,0.8489,4.358,2.419,-0.478,415,
secchi_m,hypereutrophic,0.95,0.6,1.1697,6.12,3.334,-0.478,415,0.3276
