target,model,trophic_class,nominal_coverage,picp,pinaw,winkler_score,ece,n
secchi_m,LSTM-Temporal,mesotrophic,0.8,0.906,0.5531,1.359,0.1057,2354
secchi_m,LSTM-Temporal,nan,0.8,0.848,0.5531,1.528,0.048,1191
secchi_m,LSTM-Temporal,oligotrophic,0.8,0.833,0.5531,1.585,0.0332,2542
secchi_m,LSTM-Temporal,all,0.9,0.896,0.6628,1.855,0.0045,6911
secchi_m,LSTM-Temporal,eutrophic,0.9,0.72,0.6628,2.435,0.1795,694
secchi_m,LSTM-Temporal,hypereutrophic,0.9,0.423,0.6628,3.886,0.4769,130
secchi_m,LSTM-Temporal,mesotrophic,0.9,0.953,0.6628,1.573,0.0533,2354
secchi_m,LSTM-Temporal,nan,0.9,0.915,0.6628,1.8,0.0152,1191
secchi_m,LSTM-Temporal,oligotrophic,0.9,0.905,0.6628,1.881,0.0048,2542
secchi_m,LSTM-Temporal,all,0.95,0.93,0.7385,2.13,0.0203,6911
secchi_m,LSTM-Temporal,eutrophic,0.95,0.8,0.7385,2.762,0.1503,694
secchi_m,LSTM-Temporal,hypereutrophic,0.95,0.515,0.7385,4.76,0.4346,130
secchi_m,LSTM-Temporal,mesotrophic,0.95,0.972,0.7385,1.733,0.0224,2354
secchi_m,LSTM-Temporal,nan,0.95,0.939,0.7385,2.07,0.0113,1191
secchi_m,LSTM-Temporal,oligotrophic,0.95,0.943,0.7385,2.22,0.0074,2542
secchi_m,TriModal,all,0.8,0.827,0.5763,1.586,0.0269,6911
secchi_m,TriModal,eutrophic,0.8,0.781,0.5763,1.799,0.019,694
secchi_m,TriModal,hypereutrophic,0.8,0.554,0.5763,2.346,0.2462,130
secchi_m,TriModal,mesotrophic,0.8,0.895,0.5763,1.433,0.0946,2354
secchi_m,TriModal,nan,0.8,0.716,0.5763,1.846,0.0838,1191
secchi_m,TriModal,oligotrophic,0.8,0.843,0.5763,1.508,0.0426,2542
secchi_m,TriModal,all,0.9,0.916,0.7099,1.823,0.0156,6911
secchi_m,TriModal,eutrophic,0.9,0.87,0.7099,2.119,0.0297,694
secchi_m,TriModal,hypereutrophic,0.9,0.731,0.7099,2.662,0.1692,130
secchi_m,TriModal,mesotrophic,0.9,0.953,0.7099,1.678,0.0533,2354
secchi_m,TriModal,nan,0.9,0.846,0.7099,2.07,0.0545,1191
secchi_m,TriModal,oligotrophic,0.9,0.935,0.7099,1.719,0.0355,2542
secchi_m,TriModal,all,0.95,0.963,0.8283,2.038,0.0134,6911
secchi_m,TriModal,eutrophic,0.95,0.927,0.8283,2.415,0.0235,694
secchi_m,TriModal,hypereutrophic,0.95,0.869,0.8283,3.012,0.0808,130
secchi_m,TriModal,mesotrophic,0.95,0.983,0.8283,1.892,0.0326,2354
secchi_m,TriModal,nan,0.95,0.93,0.8283,2.263,0.0197,1191
secchi_m,TriModal,oligotrophic,0.95,0.976,0.8283,1.916,0.026,2542
